library,compound_id,label,MW,logP,HBD,HBA,TPSA,RotBonds,AromaticRings,HeavyAtoms,FormalCharge,QED,Fsp3,LipinskiViolations
fpr2_actives_chembl,CHEMBL5983455,active,370.3310000000001,3.2593000000000005,3,3,96.25000000000001,6,2,26,0,0.7271854532727278,0.3125,0
fpr2_actives_chembl,CHEMBL5980769,active,384.3580000000001,3.6494000000000018,3,3,96.25000000000001,7,2,27,0,0.6789304294591714,0.35294117647058826,0
fpr2_actives_chembl,CHEMBL5975840,active,423.31100000000004,3.8716000000000026,2,4,85.25,8,2,26,0,0.6316512596752782,0.3888888888888889,0
fpr2_actives_chembl,CHEMBL5810812,active,409.2840000000001,3.4815000000000014,2,4,85.25,7,2,25,0,0.6861267850807633,0.35294117647058826,0
fpr2_actives_chembl,CHEMBL5891958,active,412.41200000000003,4.127900000000003,2,4,85.25,8,2,29,0,0.6387892561181056,0.42105263157894735,0
fpr2_actives_chembl,CHEMBL6046386,active,395.2570000000001,3.3931000000000013,3,3,96.25000000000001,7,2,24,0,0.6697137086140534,0.3125,0
fpr2_actives_chembl,CHEMBL6017849,active,395.2570000000001,3.2490000000000006,3,3,96.25000000000001,6,2,24,0,0.6997661869930757,0.3125,0
fpr2_actives_chembl,CHEMBL5803882,active,326.322,3.947300000000001,3,2,69.81,4,2,23,0,0.7960889995166363,0.3333333333333333,0
fpr2_actives_chembl,CHEMBL5792709,active,292.77,3.581900000000001,3,2,69.81,4,2,20,0,0.8058691470639705,0.2857142857142857,0
fpr2_actives_chembl,CHEMBL5781247,active,355.211,3.8301000000000016,3,2,69.81,4,2,21,0,0.7802050353037902,0.2857142857142857,0
fpr2_actives_chembl,CHEMBL5859847,active,288.35100000000006,2.937100000000001,3,3,79.03999999999999,5,2,21,0,0.7911119873370469,0.3333333333333333,0
fpr2_actives_chembl,CHEMBL5959445,active,406.9140000000002,4.397000000000003,2,4,85.25000000000001,6,2,28,0,0.696105224214846,0.45,0
fpr2_actives_chembl,CHEMBL5901403,active,469.35500000000025,4.6452000000000035,2,4,85.25000000000001,6,2,29,0,0.603868119866503,0.45,0
fpr2_actives_chembl,CHEMBL5858637,active,402.4950000000002,3.752200000000003,2,5,94.48,7,2,29,0,0.6879878980337942,0.47619047619047616,0
fpr2_actives_chembl,CHEMBL5907955,active,384.3580000000001,3.505300000000001,3,3,96.25000000000001,6,2,27,0,0.710181539443045,0.35294117647058826,0
fpr2_actives_chembl,CHEMBL6062636,active,350.8060000000001,3.139900000000001,3,3,96.25000000000001,6,2,24,0,0.7452241548672599,0.3125,0
fpr2_actives_chembl,CHEMBL5832306,active,413.2470000000001,3.3881000000000006,3,3,96.25000000000001,6,2,25,0,0.676670688966483,0.3125,0
fpr2_actives_chembl,CHEMBL5860243,active,346.38700000000006,2.4951000000000008,3,4,105.48,7,2,25,0,0.7141624016347662,0.35294117647058826,0
fpr2_actives_chembl,CHEMBL5943565,active,383.37400000000014,2.9059999999999997,3,3,102.03999999999999,6,2,27,0,0.7146852336344164,0.35294117647058826,0
fpr2_actives_chembl,CHEMBL5903933,active,425.4550000000001,3.946900000000002,3,3,88.05000000000001,8,2,30,0,0.5985340211812417,0.45,0
